Year,TRAILBOSS ENTERPRISES INC,AHTNA INCORPORATED,ASSET PROTECTION & SECURITY SERVICES L.P.,CORRECTIONS CORPORATION OF AMERICA,THE GEO GROUP INC
2014,23.997266,40.684500,78.279119,60.463537,157.946982
2015,28.587472,44.410244,41.766798,68.221465,161.235401
2016,20.523621,36.133216,32.397444,99.556193,137.504827
2017,29.700449,54.311370,38.983022,134.992874,183.909729
