time,Japan,Taiwan,South Korea,China
1970,52,36,52,71
1975,52,37,45,72
1980,52,38,42,72
1985,53,42,43,72
1990,57,45,47,73
1995,58,47,52,71
2000,60,48,59,70
2005,61,49,55,68
2010,62,50,50,62
